text,sentiment,Time of Tweet,Age of User,Country
" A towel, a 'Sub-Etha Sens-O-Matic' and the Guide ??",neutral,night,31-45,Iraq
Ugh. Too much happened today. I really need a hug,negative,morning,46-60,Ireland
" nothing much man, waiting for my Insurance card to come through... Cant get any workdone here w/o it... Redtape",neutral,noon,60-70,Israel
sux gabe just told me to go to the afterparty and I have ID that works but I can`t go,neutral,night,70-100,Italy
http://twitpic.com/670rw - i miss my puppy,negative,morning,0-20,Jamaica
 Sorry Ali,negative,noon,21-30,Japan
needs to see a band live.. **** Blink for not coming to the UK this year!  ..anyone wanna go see Billy Bragg or Colin Blunstone with me?,neutral,night,31-45,Jordan
Wrapped up some html/java work now spending the night dabbling in some flash intros,neutral,morning,46-60,Kazakhstan
 try direct message to me here on twitter,neutral,noon,60-70,Kenya
Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don`t worry about me. I`ll be ok.,positive,night,70-100,Kiribati
last sunday before going home!,neutral,morning,0-20,Kuwait
 y does it hurt so much? i can`t even chew gum.  i`ve lost so much weight because i can`t even eat,negative,noon,21-30,Kyrgyzstan
" Yes, that would be pretty creepy. I think its all a bit more innocent than that, I think he just wants to sell some icecream",neutral,night,31-45,Laos
" Not true, you can get worse burns today... don`t forget sunscreen",negative,morning,46-60,Latvia
 HAPPY MOTHER`S DAY TO UR MOM JAH. TC.,positive,noon,60-70,Lebanon
" OH WAIT, I read that wrong. OK hellboy",neutral,night,70-100,Lesotho
" hi there, nice to meet you",positive,morning,0-20,Liberia
 It`s still up the duff boo,neutral,noon,21-30,Libya
Postponed is not abandoned. //,neutral,night,31-45,Liechtenstein
looking for models for beauty shoot THIS THURSDAY in the Valley studio  contact me if interested!,neutral,morning,46-60,Lithuania
ok.  i got my nails done to day an the are sweet.,positive,noon,60-70,Luxembourg
 Moral support for students,positive,night,70-100,Madagascar
"Just had my teeth checked, now my eyes. I`m dying for a coffee but can`t drink for an hour.",negative,morning,0-20,Malawi
Allies not coming over,neutral,noon,21-30,Malaysia
 i could have got you some from work and not paid more than R20 per 2l,neutral,night,31-45,Maldives
" we always miss each other, don`t we?",negative,morning,46-60,Mali
great song  http://bit.ly/evluw,positive,noon,60-70,Malta
"Just funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable",positive,night,70-100,Marshall Islands
 im home alone in the house and imma scared  x,negative,morning,0-20,Mauritania
" hey kellie,how are u?I FEEL HORRIBLE!",negative,noon,21-30,Mauritius
Congratulation`s to phil packer on completing the london marathon  x a shining example to us all x,positive,night,31-45,Mexico
 Happy Mother`s Day to you,positive,morning,46-60,Micronesia
Going for a ride! Perfect night to go out and chill,positive,noon,60-70,Moldova
" Yeah, it`s good.  Just startled me.",positive,night,70-100,Monaco
hey twitter  hows it going? let us know how your day is going,neutral,morning,0-20,Mongolia
in ten minutes shopping   demi lovato-back around demi lovato-behind enemy lines have you all seen the titanic 2 trailer? its really good!,positive,noon,21-30,Montenegro
" sooo, u just gon cheat on me and tell everybody on twitter? I don`t know if I can trust you anymore.     j/k",negative,night,31-45,Morocco
Missing brandon. Wanting to talk to anthony. Sadshoes,negative,morning,46-60,Mozambique
what a great day,positive,noon,60-70,Myanmar (formerly Burma)
"  Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you`re not!",negative,night,70-100,Namibia
Exhausted after a 58 hour work week,negative,morning,0-20,Nauru
Omg amazing twist! This is a crazy awesome movie,positive,noon,21-30,Nepal
Is looking forward to a yummy dinner with mizz Kate jones this evening!,positive,night,31-45,Netherlands
says gots my mom a digital picture frame bout to scan pics of her wedding n all that mushy stuff  http://plurk.com/p/su3eq,neutral,morning,46-60,New Zealand
  Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,negative,noon,60-70,Nicaragua
has a good heart... or so says the doctor. Except that the doctor won`t be in until Tuesday afternoon to put that in writing....,neutral,night,70-100,Niger
"_Ernman Hej Malena, lycka till Eurovision! The United Kingdom will be voting for you!",neutral,morning,0-20,Afghanistan
"I looked up some differents stuff for mine, today.",neutral,noon,21-30,Albania
 aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though ****,negative,night,31-45,Algeria
" Mmm, comfort junk food. That sounds good. I always preferred Wingstop",positive,morning,46-60,Andorra
"  Tat, You looks beautiful and are a heck of a mama and business woman.   Dana",neutral,noon,60-70,Angola
"I don`t believe it, my puppy likes brussels sprouts!",positive,night,70-100,Antigua and Barbuda
Jennnnnn richhhh wast to the ed,neutral,morning,0-20,Argentina
 i already got my tickets to your concert here in the philippines! im so excited!,positive,noon,21-30,Armenia
" Awwww...thanks!! ;) Unfortunately, everything closes at 4pm in Sweden on a friday. Presentation is 9am Monday.",neutral,night,31-45,Australia
 Think of the prize at the end. So sorry to hear that though.,negative,morning,46-60,Austria
"What a day, 12 hours work  But I`d really like my job, it`s fabulous :b",positive,noon,60-70,Azerbaijan
Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement,neutral,night,70-100,Bahamas
4 fillings to the good(?); two more appointments to go,positive,morning,0-20,Bahrain
"Yo! Its moms day today, so do it big for mom dukes  and behave!",positive,noon,21-30,Bangladesh
" to be fair, she was asking about mktg cd`s, etc, but I suggested more and she never even emailed back.",negative,night,31-45,Barbados
" Poor kitties  If there`s nothing that can be done, hopefully you`ll at least be able to find her a good home",positive,morning,46-60,Belarus
its raining in MD,neutral,noon,60-70,Belgium
 this is very true about ! but you do have to admit it was pret-ty funny! im bout to go you tube it!  lol,positive,night,70-100,Belize
 oh yes some are quite nice! and my `photoshop` liep zojuist vast. so now I have to start over painting RÃ¯Â¿Â½isÃ¯Â¿Â½ngs glove,positive,morning,0-20,Benin
_lottie Not one of my favourite pastimes  This weekend is a long weekend here so Monday I`m off to an Ice Show w/ the G/daughter ;),positive,noon,21-30,Bhutan
misses my baby.,negative,night,31-45,Bolivia
" Ten hours ago, I was was sleeping, sorry.",negative,morning,46-60,Bosnia and Herzegovina
I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I`m wide awake.,negative,noon,60-70,Botswana
"I`ve knack my iphone, I got melted chocolate into the speaker, I now can`t hear it when it rings",neutral,night,70-100,Brazil
last day working for Tend,neutral,morning,0-20,Brunei
  still waiting to have a beer with Moldovan. At least he`s happy I came.,positive,noon,21-30,Bulgaria
"  I could never do that to one of my children, look what happened to Nina Zavaroni (sp) Brooke Shields and Drew Barrymore",neutral,night,31-45,Burkina Faso
" Yep, ah, ****, I don`t wanna leave my warm doona to get a hot beverage...I guess I`ll just have to make do w/o it",negative,morning,46-60,Burundi
Not a good start to the day left my money at home . So i`ll hot a day me looking for free carparks,negative,noon,60-70,Côte d'Ivoire
Spongebob sing a long. Amandas mom gave me and crystal jonas brothers calendars,neutral,night,70-100,Cabo Verde
 you will be great! Have a wonderful first day,positive,morning,0-20,Cambodia
Friday has a whole different meaning when you have to work Saturday and Sunday,neutral,noon,21-30,Cameroon
 friends of mine just meet you today..... I can`t wait until it is my turn,positive,night,31-45,Canada
Math is amazing and hell at the same time  socialily that is the naiv part is fine.,neutral,morning,46-60,Central African Republic
i can`t seem to access Restuarant City due to some internet / javascript problem...,negative,noon,60-70,Chad
"So, I finally got my but on Twitter. Let`s hope I make good use of this site",positive,night,70-100,Chile
 hahaha I didn`t even notice the name - LICE,positive,morning,0-20,China
just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2,negative,noon,21-30,Colombia
My twitterberry wont work on my friends and me,neutral,night,31-45,Comoros
Slowly getting ready for work,neutral,morning,46-60,Congo (Congo-Brazzaville)
" episode 17 season 1, i love chuck bass.  who`s going to the short stack filming next sat? Im making a flag. ;D",positive,noon,60-70,Costa Rica
 Awww my lovies! Yes I love it all.  And I`m totally finishing my buffalo sammich after a few hits off the new bongie. <3,positive,night,70-100,Croatia
" Hey girl, yeah I did..thanks a bunch!! I haven`t started downloading them yet...I totally owe you.",positive,morning,0-20,Cuba
Happy Mothers Day Mommy!!! I love you && your the best...,positive,noon,21-30,Cyprus
"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg",neutral,night,31-45,Czechia (Czech Republic)
nothing to do on a friday night,neutral,morning,46-60,Democratic Republic of the Congo
Just finished my 1st new song !!!  Soon on Youtube !  Keeping you updated !,neutral,noon,60-70,Denmark
 I`m doing an experiement,neutral,night,70-100,Djibouti
I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,negative,morning,0-20,Dominica
Watching Ryann!!  Gonna be a grand day!!!,positive,noon,21-30,Dominican Republic
" off to bed with fingers and toes and everything crossed u pick me-lol! Hope ur well and got back safe,poor Jon  ****",neutral,night,31-45,Ecuador
missin my bro..,negative,morning,46-60,Egypt
 w00t! Glad to hear it! Though I am missing watching it outside the Igloo by a day,positive,noon,60-70,El Salvador
 that makes me sad...,negative,night,70-100,Equatorial Guinea
 thanks kelly! that means a lot.  have you figured out your apt thing yet?,positive,morning,0-20,Eritrea
My mouth hurts from this stupid retainer!!,negative,noon,21-30,Estonia
 I`m sorry about your bad driving experiences.,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")"
" did some research, but couldn`t find the specific thing which i wanna do with this drive`s autorun",negative,morning,46-60,Ethiopia
Edward Cullen. <3  Hahaha.,neutral,noon,60-70,Fiji
 yeah! i love this one and doesn`t really matter,neutral,night,70-100,Finland
  i for one welcome our new cyber-criminal-overlords.,positive,morning,0-20,France
" invite sent   You can now invite more collabs too, pass the word around",neutral,noon,21-30,Gabon
 eh...I might drive through Chi-town on my way to Colorado....maybe I`ll get one then.,neutral,night,31-45,Gambia
no new tubas until  4th  of july weekend,neutral,morning,46-60,Georgia
I realized last night that I have no idea where my PnS went to during the move... I hope it`s not lost and gone forever,neutral,noon,60-70,Germany
 I lluuvv u too..  ahhh im gonna miss u evenn moreee! lol,neutral,night,70-100,Ghana
 i been coolin and **** ya know me,neutral,morning,0-20,Greece
Still gutted that man utd lost,negative,noon,21-30,Grenada
alicias tonight? idkkkk. ughhh,negative,night,31-45,Guatemala
"Happy Mother`s Day to all the beautiful Moms out there.  (I`m kind of a Mom, i think my little pup counts!  )",positive,morning,46-60,Guinea
 Thank you! I hope you have a great rest of your day! Have you had your afternoon coffee yet?,positive,noon,60-70,Guinea-Bissau
Yay Happy Mother`s Day  #fb,positive,night,70-100,Guyana
 I don`t remember cause I was watching so many on youtube... LOL will get back to you,neutral,morning,0-20,Haiti
" Indeed plenty of jokes to be had  Lying on bed hoping it`s going to free up, I`m on Jury service tomorrow...",positive,noon,21-30,Holy See
"'NAPPY`S' da new 'N' word....by da way, iLove my 'NAPPY' braids  iGot 'HANG-TIME' homie lol",positive,night,31-45,Honduras
" thank you very much, I`m glad you like them!",positive,morning,46-60,Hungary
 Maybe until Wednesday?,neutral,noon,60-70,Iceland
Morning  don`t ask me why I`m up so early,neutral,night,70-100,India
is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn`t gryffindor,negative,morning,0-20,Indonesia
?Ã¯Â¿Â½ nh?n ???c bonus r?i. Ch?c ch? ?? bÃ¯Â¿Â½ vÃ¯Â¿Â½o kho?n unpaid leave,neutral,noon,21-30,Iran
 At least you`re getting closer to normal bedtime. Enjoy your trip. Keep us updated. Sweet dreams,positive,night,31-45,Iraq
_longman yes i am.  but she didn`t follow me,negative,morning,46-60,Ireland
check out q100 right now..99.7,neutral,noon,60-70,Israel
:: holy kraut. I canNOT stay up this late. But the book is done and in the author`s in box.  Tucking in with kitty-boys now. Nighty-night.,negative,night,70-100,Italy
" Ok that`s not true! Plus, you`re insulting me saying that I`m insulting you! I`ve been trying to cheer you up. ButÃ¯Â¿Â½nadaÃ¯Â¿Â½",negative,morning,0-20,Jamaica
 hey there! your web URL looks good,positive,noon,21-30,Japan
" - I`m hoping these pills will do something, cuz I`m gonna go nuts",positive,night,31-45,Jordan
 Or your mobile doesn`t like me,negative,morning,46-60,Kazakhstan
Pissed at you   http://myloc.me/21CU,negative,noon,60-70,Kenya
" i saw this 6 week diet that was no sugar, no rice, no wheat, no potatoes, as much protein as you want. So i just did no sugar.",neutral,night,70-100,Kiribati
  Have fun! Wish your mums a happy mother`s day for us!,positive,morning,0-20,Kuwait
 yes`ma... for an after party too after the show next week.,neutral,noon,21-30,Kyrgyzstan
havent been on in awhile.  no point anyways,negative,night,31-45,Laos
Just got home from the hospital.... i have another clot in my leg,negative,morning,46-60,Latvia
I am dying to hangout on a Friday afternoon...,positive,noon,60-70,Lebanon
" hi there, nice to meet you.  I am new to twitter and I guess you are too?",positive,night,70-100,Lesotho
 Not us as far as I know  hee hee. We`re thinking a few more years first .,neutral,morning,0-20,Liberia
"may,1st success for lucas first police contact after neighborhood cruising with eggs, cream, bumf, shaving foam. love my son he`s a hero",positive,noon,21-30,Libya
Ouch just burned myself making soup for nico...,negative,night,31-45,Liechtenstein
i`m hungry but can`t eat anything right now because my tongue hurts so bad.,negative,morning,46-60,Lithuania
"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that",negative,noon,60-70,Luxembourg
Tweeten Out  Tix deals for NKOTB 5/28 Was $43 NOW *$38 http://tinyurl.com/NKOTBTweetenTixsDeal <-or other SEAT Prices /NKOTB Dates,neutral,night,70-100,Madagascar
RIP leonardo. You were a great mini fiddler crab,positive,morning,0-20,Malawi
 : yes she got all lovey with him&he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,neutral,noon,21-30,Malaysia
 hahaha! i have a secret door to the real batcave,neutral,night,31-45,Maldives
it`S freezing and raining here,neutral,morning,46-60,Mali
  I`m bad with understanding there things! You should know this!,negative,noon,60-70,Malta
 PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don`t see anything close anytime soon.,neutral,night,70-100,Marshall Islands
thinks its annoying when i keep getting twitter error messages from my mobile,negative,morning,0-20,Mauritania
 that is why I drive a (teeny tiny) honda civic  http://myloc.me/FRy,neutral,noon,21-30,Mauritius
is listening to Jello Biafra at work.,neutral,night,31-45,Mexico
work work work,neutral,morning,46-60,Micronesia
" I did my best, it is Sunday after all",positive,noon,60-70,Moldova
i`m so tired,negative,night,70-100,Monaco
No free ice cream though,negative,morning,0-20,Mongolia
 Well I asked you a few days ago and you said money was the only thing holding you back Saturday or something,neutral,noon,21-30,Montenegro
Im so tired. And its so gloomy  what happeened ro summer?,negative,night,31-45,Morocco
" Let`s hope and pray, we go a wiser way! :  Let`s hope and pray, we go a wiser way!  http://bit.ly/TzxqN",positive,morning,46-60,Mozambique
Ive finished 4th year!!! Argh Uni is going soooooo quick,neutral,noon,60-70,Myanmar (formerly Burma)
 I`ve given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,positive,night,70-100,Namibia
 lol cute.  BTW Happy Mother`s Day lady,positive,morning,0-20,Nauru
I want some grape juice.,neutral,noon,21-30,Nepal
sooo cloooseee,neutral,night,31-45,Netherlands
Great find   http://amanita-design.net/samorost-1/,negative,morning,46-60,New Zealand
"'Bad words are a crutch, they lead to tattoos and peircings!'  Hahahaha!",neutral,noon,60-70,Nicaragua
jazzy we should be in vegas w A team,neutral,night,70-100,Niger
 Damnit. Sorry to hear dude,negative,morning,0-20,Nigeria
 ha ha  thank you!,positive,noon,21-30,North Korea
Back from hospital. Doc says I`ll live,positive,night,31-45,North Macedonia
 Looking for a new SMS sending solution? http://promotion.itagg.com Get Ã¯Â¿Â½6 FREE SMS with every iTAGG!,neutral,morning,46-60,Norway
"Wish we had a garden so we could have a bbq tonight...  might set up a lounge bbq type thing, that`ll work. #fridayfirehazzard",positive,noon,60-70,Oman
"Eat Sleep Draw!: Part of my Neuroanatomy take-home test.  After this, IÃ¯Â¿Â½m...: Part of my Neuro.. http://bit.ly/fXs3L",neutral,night,70-100,Pakistan
 How`s the head this morning?,neutral,morning,0-20,Palau
 beating heat with tea?  Try some masala chaas,neutral,noon,21-30,Palestine State
officially misses Quark.  huhuhu! i had no heart hand partner and no one to dance with tonight! come home so... http://plurk.com/p/x2k1z,negative,night,31-45,Panama
_UK Argh Twitter didnt post my replies and tweets for ages  Aint up to much just enjoying the sun!,positive,morning,46-60,Papua New Guinea
  oh man that sucks hardcore! haha good luck finishing up recording,neutral,noon,60-70,Paraguay
 god bless u and I hope the rest of your weekend is joyfull,positive,night,70-100,Peru
Through to quaterfinals of charity football tournament. My penalty save sent us through,positive,morning,0-20,Philippines
_w T`was not an interview in so much as it was a private chat,neutral,noon,21-30,Poland
"btw. ear is getting better! its about time! finally - i say goodnight twitter world, (even though y`all are already asleep). xoxo",positive,night,31-45,Portugal
This is my 201th update,neutral,morning,46-60,Qatar
ROFL.. okay I dont know. but Kristin still isnt here,neutral,noon,60-70,Romania
 I had to work and missed it    Shannon could barely contain herself.  She had an amazingly good time,neutral,night,70-100,Russia
" And the 1600th tweet goes to you because w/o you, I`d have no one to talk to at 3am in the morning! lol <3",neutral,morning,0-20,Rwanda
is playing around && having fun with little kids right now  hahahahaha,positive,noon,21-30,Saint Kitts and Nevis
 You`re welcome...,positive,night,31-45,Saint Lucia
 would love to talk to you but i live in England so unfair,neutral,morning,46-60,Saint Vincent and the Grenadines
 im fine. but a bit tired  im glad that its weekend now.,positive,noon,60-70,Samoa
"well, having looked at my bruv`s exam timetable and french oral exam I feel very fortunate  now to, erm, digest my morning revision...",positive,night,70-100,San Marino
On our way to take photos at the park,neutral,morning,0-20,Sao Tome and Principe
  #amtarot Thank you so much!,positive,noon,21-30,Saudi Arabia
 that`s a mess  I`ll look for it next week,negative,night,31-45,Senegal
"loves GOSSIP GIRL Episode 23, The Wrath of Con",positive,morning,46-60,Serbia
I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,negative,noon,60-70,Seychelles
"imissu, come back home now honey",negative,night,70-100,Sierra Leone
 Sure thing!,neutral,morning,0-20,Singapore
 still sad about Samantha Who?,negative,noon,21-30,Slovakia
omg i am in so much pain  ouchies,negative,night,31-45,Slovenia
off to pick up my daughters who appear to be picking up an unhealthy liking for primark...feel like a bad parent,negative,morning,46-60,Solomon Islands
2 hours after teleconference. but can`t go back to sleep. got some work to do. sigh sigh,negative,noon,60-70,Somalia
this is my movie weekend!! i`ve watched 5 movies so far,neutral,night,70-100,South Africa
Is coming to the end of his first shift  6.30 local,neutral,morning,0-20,South Korea
 Maybe JD can help you out there I don`t know though  But I will ask!,neutral,noon,21-30,South Sudan
" Actually, I`m supposed to do that w/ my dad + cousin, My cousin is in trouble though, so we never get together",negative,night,31-45,Spain
Is having a BBQ today!,neutral,morning,46-60,Sri Lanka
" Oh, okay. Every so often I get this random taste of blood in my mouth that makes me go 'eww, blood'.  Haha.",neutral,noon,60-70,Sudan
 thanks for finding the amusing rubiks pictures tonight. making my evening via  ...,positive,night,70-100,Suriname
OMG. Today felt like the last day of school! it`s horrible!,negative,morning,0-20,Sweden
 that is sickening... Just shoot at will? Smh... Prayers for his family...,negative,noon,21-30,Switzerland
_are_fire Hii,neutral,night,31-45,Syria
" yeah it made a great noise, and tripped the house circuit breaker. Good Times. $200 worth of parts too",negative,morning,46-60,Tajikistan
 yeah back to work  I get out at 3:30 so it`s not that bad,positive,noon,60-70,Tanzania
Wanted to buy Amber Bensons death`s daughter today and no where had it,neutral,night,70-100,Thailand
" lol, I haven`t made anything yet, I`ve just spread all my supplies out over the dining room table",neutral,morning,0-20,Timor-Leste
I think I just found my purse soulmate. But its not in my budget,neutral,noon,21-30,Togo
Happy Bank Holiday,positive,night,31-45,Tonga
Livin on ur own iznt nice at all. I miss my mum,neutral,morning,46-60,Trinidad and Tobago
Today is my Mother`s birthday- Happy Birthday & I love you! She is an angel whom has helped me so much during this time of my life,positive,noon,60-70,Tunisia
Awaiting to watch lfctv @ 10am  liverpool vs newcastle game from yesterday!,positive,night,70-100,Turkey
" LOL it`s not the army it`s starfleet, rules are meant to be broken to get the job done. That`s why he gets the medal",negative,morning,0-20,Turkmenistan
" Wow, thats quite the trip!",neutral,noon,21-30,Tuvalu
last school day tomorrow! it was the funnest day ever. BUt also really sad  Righ ow I`m getting ready to go to Moab with Phil!!!,neutral,night,31-45,Uganda
i wish i was going to be with my ST girls tomorrow,positive,morning,46-60,Ukraine
Found out I have to go to the US again in August. Getting tired of transatlantic flights. Not good for my carbon footprint either,negative,noon,60-70,United Arab Emirates
" Hey, that link didn`t work for me",negative,night,70-100,United Kingdom
"Oh PW, you done me wrong. The signing time in ur children`s article are all wrong...and no Neil Gaiman?! You tease me.  #bea",negative,morning,0-20,United States of America
 i know! that`s why i recommend it,positive,noon,21-30,Uruguay
Sad that the Statue of Liberty will completely reopen 2 weeks after our NYC trip.,negative,night,31-45,Uzbekistan
Awww I wonder when ima get married. Shawna and Damon are so cute,positive,morning,46-60,Vanuatu
"fourteen hours later, i`m still having the worst allergy flare-up in my life from shooting an engagement session in a field last night...",negative,noon,60-70,Venezuela
 I can`t DM you because you aren`t following me,neutral,night,70-100,Vietnam
 nothing yet  still looking....but lets for sure do lunch next week!!,positive,morning,0-20,Yemen
I do the same thing to my parents and my best friend too,neutral,noon,21-30,Zambia
" You saw that fraktastic zoidberg painting that was tweeted around last week or so, didn`t you?",neutral,night,31-45,Zimbabwe
" Thanks! I downloaded the trial version of Stuffit, and it worked. Good advice.",positive,morning,46-60,Afghanistan
() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,negative,noon,60-70,Albania
 IÃ¯Â¿Â½m sorry for that,negative,night,70-100,Algeria
OOUCHHHH I just pinched my own **** by accident trying to fix my top,negative,morning,0-20,Andorra
" If you keep trying, you`ll get it right the last time.",positive,noon,21-30,Angola
" hey! negative on the primatech, this handle`s been on the tubes for a decade longer than heroes has",negative,night,31-45,Antigua and Barbuda
just finished dinner - it was yummy,positive,morning,46-60,Argentina
Feeling deflated. Hubby saw swing set & thinks is a piece of junk. I thought I had found something good 4 the kids,neutral,noon,60-70,Armenia
" please dont change anything in your site. I love it.. will always love it even if.. so, please? pretty please?",positive,night,70-100,Australia
blast from the ****`ing past. NTS why must you suck so badly at school?,negative,morning,0-20,Austria
off to get ready for school. have an absolute wonderful day!,positive,noon,21-30,Azerbaijan
 pffffffffff... it`s not a 100% triumph cuz u gone napping  LMAO!!,negative,night,31-45,Bahamas
 - I produce/direct/film/edit... I write... I coordinate events... I manage Don Fetti... there ain`t much I don`t do!,neutral,morning,46-60,Bahrain
you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,negative,noon,60-70,Bangladesh
Just got done watching Bedtime Stories! Love that movie!,positive,night,70-100,Barbados
 Oh noooooo!!!      I`m so sorry!!  That sucks hard!,negative,morning,0-20,Belarus
"Listening to the commentary track on Holiday Inn. Never thought I`d see Bing Crosby in black face, but the rest of the movie was cute",positive,noon,21-30,Belgium
Worried about friend,negative,night,31-45,Belize
It are mimi time,neutral,morning,46-60,Benin
Send me your Blog`s RSS feeds I have a site that will republish and send traffic to your site...,neutral,noon,60-70,Bhutan
 My Dad told me music that has the power to heal the soul. Sure is true of yours,positive,night,70-100,Bolivia
 Yes so did I  Some of the Acts are really very cringe worthy! Though I do find it very entertaining.,neutral,morning,0-20,Bosnia and Herzegovina
Driving to work running late like always..... No time for starbucks,neutral,noon,21-30,Botswana
 don`t you agree?,neutral,night,31-45,Brazil
Rain. One more reason to stay snuggled beneath the duvet,neutral,morning,46-60,Brunei
Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,negative,noon,60-70,Bulgaria
 I just added a butt to your name in my phone after I made you go home in the cold. Because I love you!,positive,night,70-100,Burkina Faso
"Schools out, but works in",neutral,morning,0-20,Burundi
"So sorry if i`ve been typing wrongly. usually, after i`ve typed something, i wont read. i`ll just press the `enter` button",negative,noon,21-30,Côte d'Ivoire
Fender is hiding under the couch ... he knows I`m getting ready to leave and he isn`t happy about it,negative,night,31-45,Cabo Verde
_Shawn when do you go back home? Want to see ya B4 u leave Homie,neutral,morning,46-60,Cambodia
"seriously my parents are non stop  minniapolis, newport for a week, and now this weekend in San Diego  i miss them ",negative,noon,60-70,Cameroon
_d awww glad to know Little Sweet D and Leigh are doing good...thanks for the updates Howie,positive,night,70-100,Canada
_sims do you know of any inside scoop on a station that`s anything what kwod was? there`s nothing for us now,neutral,morning,0-20,Central African Republic
 You right...we are 'arguing' about nothing...I thought it was healthy conversation,negative,noon,21-30,Chad
", i missed everyone tonight",negative,night,31-45,Chile
" Yeah, but you`ve got admire someone who takes job satisfaction to the Nth degree",positive,morning,46-60,China
"sigh.. stayed up late cause was on a role w/ assessment, now I`m so tired my eyes r stinging & my head hurts.. & I still need 500 words",negative,noon,60-70,Colombia
_whacker skypeeeeee,neutral,night,70-100,Comoros
After work....Hillcats game!   .25 cent hot dogs haha,negative,morning,0-20,Congo (Congo-Brazzaville)
" I still have plenty of food left here! Thanks for coming over, I can`t wait to see how the pictures came out",positive,noon,21-30,Costa Rica
" but i like the idea going to cinema, but monday....",neutral,night,31-45,Croatia
I don`t like my dress,negative,morning,46-60,Cuba
Im not happy,negative,noon,60-70,Cyprus
Is gonna go for a shower  goin to see hannah Montana laterz woo well excited,positive,night,70-100,Czechia (Czech Republic)
with thee ladies getting retarded,negative,morning,0-20,Democratic Republic of the Congo
wow i must have been tired. i fell asleep @ exactly the start of the 10pm news & now up as if its 8am.,negative,noon,21-30,Denmark
I`m at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money,neutral,night,31-45,Djibouti
Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,neutral,morning,46-60,Dominica
Happy mothrs day 2 ; all thaa moms outt thr  *,positive,noon,60-70,Dominican Republic
_jayy It might hav to cost u a History essay.,neutral,night,70-100,Ecuador
YAY! My temperature went down!  I can have dinner with the family tonight.,neutral,morning,0-20,Egypt
had a great night with friends,positive,noon,21-30,El Salvador
my legs are soft  watching a move with my mommm short day @ workk,positive,night,31-45,Equatorial Guinea
Happy Mother`s Day to all Mums on Twitter,positive,morning,46-60,Eritrea
"Well poop, my guitar lesson was canceled today  I`m so sad. I hope his son feels better soon tho.",neutral,noon,60-70,Estonia
I miss my friends so much,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")"
"i changed my picture  i am soo screwed, i have an assignment due tomorrow that i havent started, i just cant concentrate argh",negative,morning,0-20,Ethiopia
" Here we are!  Unofficially, of course, but we are providing all the info you could want for the Geelong Football Club!",neutral,noon,21-30,Fiji
" just had a look - missed out by a couple of hours, i`m sorry. i`ll let you know next time..",negative,night,31-45,Finland
 it was days yesterday and probably today that I wish I had taken the top off my jeep.  I need help haha. IT`S FRICKEN HOT,neutral,morning,46-60,France
no school today gd  but dont get to see mates n millsy x,neutral,noon,60-70,Gabon
 I didn`t headbutt anyone! Not that I know about anyway! ;) You ok today?  Football today?,neutral,night,70-100,Gambia
 just relax like it is or translated to swedish too? Just got to take a look at my next comment,positive,morning,0-20,Georgia
Just got Back from the Gym Wanna chat with some new people  Lets talk! haha,neutral,noon,21-30,Germany
"I want to go shopping tomorrow, but I have to work  Buy me things, you know you want to!",neutral,night,31-45,Ghana
 I like the last part in your methodology.,positive,morning,46-60,Greece
Back from mountains,neutral,noon,60-70,Grenada
the last time pankraz. why do they have to got the same name ?!?!,neutral,night,70-100,Guatemala
hahaha yay emily i m cool  ,positive,morning,0-20,Guinea
14 days until Boyzone,neutral,noon,21-30,Guinea-Bissau
p.s.  thought you were gonna follow me back on twit-har ?,neutral,night,31-45,Guyana
 I envy everyone on AOTS...,positive,morning,46-60,Haiti
_Hayward go two way mirrors,neutral,noon,60-70,Holy See
